
<br>21:28:40.034-&gt; OK
<br>21:28:40.350-&gt; 
<br>21:28:40.350-&gt; OK
<br>21:28:40.667-&gt; 
<br>21:28:40.667-&gt; OK
<br>21:28:41.737-&gt; 
<br>21:28:41.737-&gt; +CVA: 16,4027,4033,4052,4034,4042,4036,4042,4023,4043,4038,3988,3991,3987,3991,3992,3996
<br>21:28:41.751-&gt; OK
<br>21:28:42.835-&gt; 
<br>21:28:42.835-&gt; +CVA: 16,4027,4033,4052,4034,4043,4036,4041,4023,4043,4038,3988,3991,3987,3991,3992,3995
<br>21:28:42.845-&gt; OK
<br>21:28:44.304-&gt; 
<br>21:28:44.304-&gt; OK
<br>21:28:44.764-&gt; 
<br>21:28:44.764-&gt; +CC: 1,D,0
<br>21:28:45.250-&gt; +CC: 1,D,0
<br>21:28:45.766-&gt; +CC: 1,D,0
<br>21:28:46.248-&gt; +CC: 1,D,0
<br>21:28:46.761-&gt; +CC: 1,D,0
<br>21:28:47.248-&gt; +CC: 1,D,0
<br>21:28:47.702-&gt; OK
<br>21:28:48.788-&gt; 
<br>21:28:48.788-&gt; +CVA: 16,4027,4033,4052,4034,4042,4036,4041,4023,4043,4038,3988,3991,3987,3991,3992,3996
<br>21:28:48.819-&gt; OK
<br>21:28:49.824-&gt; 
<br>21:28:49.824-&gt; +CVA: 16,4027,4033,4052,4034,4042,4036,4041,4023,4043,4038,3988,3991,3988,3991,3992,3995
<br>21:28:49.833-&gt; OK
<br>21:28:50.797-&gt; 
<br>21:28:50.797-&gt; +CVA: 16,4027,4033,4052,4034,4043,4036,4041,4023,4043,4038,3988,3991,3987,3991,3992,3996
<br>21:28:50.813-&gt; OK
<br>21:28:51.797-&gt; 
<br>21:28:51.797-&gt; +CVA: 16,4027,4033,4052,4034,4042,4036,4042,4023,4043,4038,3988,3991,3988,3991,3992,3995
<br>21:28:51.824-&gt; OK
<br>21:28:52.773-&gt; 
<br>21:28:52.773-&gt; +CVA: 16,4027,4033,4052,4034,4042,4036,4042,4023,4043,4038,3988,3991,3987,3991,3991,3995<br>21:28:52.791-&gt; OK
<br>21:28:53.744-&gt; 
<br>21:28:53.744-&gt; +CVA: 16,4027,4033,4052,4034,4042,4036,4042,4023,4043,4038,3988,3991,3988,3991,3992,3996
<br>21:28:53.763-&gt; OK
<br>21:28:54.696-&gt; 
<br>21:28:54.696-&gt; +CVA: 16,4027,4033,4052,4034,4042,4036,4042,4023,4043,4038,3988,3991,3987,3991,3992,3995<br>21:28:54.717-&gt; OK
<br>21:28:55.676-&gt; 
<br>21:28:55.676-&gt; +CVA: 16,4027,4033,4052,4034,4042,4036,4042,4023,4043,4038,3988,3991,3987,3991,3992,3995
<br>21:28:55.692-&gt; OK
<br>
